"#Compound List: 9080 found, 1566 shown, filtered on MS/MS Count"
#
Show/Hide,Label,Mass,RT,Avg Mass,Height,Area,Ion Polarity,Base Peak,Z Count,Saturated,Algorithm,End,FV,Abund,MS/MS Count,File,Volume,Formula,Precursor,CE,m/z (Prod),Width,Max Z,Ions,Min Z,ID Source,ID Techniques Applied,Score,Start,Cpd,Name,Hit Count,CAS ID,HMP ID,KEGG ID,Lipid ID,METLIN ID,Swiss-Prot,Notes,Mass (Tgt),Diff (ppm),Score (Tgt),Flags (Tgt),Diff (mDa),RT (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),FIs Eval.,Source,Flag Severity (Tgt),Vol %,Std Dev,Group,Cpds/Group,Score (MFE),Score (DB),Reference mass,Reference Retention Time,RT Diff,Hits (DB),Common Hit Count,Relative Reference Mass difference,Reference Mass difference
True,Cpd 1102: 12.970,510.3925,12.97,,7966,31771,Positive,60.0442,1,,Find by Formula,13.135,,1843,6,PQC_Prfrd opt Iterative-r001.d,,,493.3884,,,0.06,1,2,1,FBF,FBF,64.18,12.906,1102,,1,,,,,,,,510.3921,0.65,64.18,low score,0.33,12.982,-0.012,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 42: 3.790,367.1237,3.79,,355147,1870134,Positive,368.1273,1,,Find by Formula,4.035,,80632,6,PQC_Prfrd opt Iterative-r002.d,,,368.1273,,,0.058,1,6,1,FBF,FBF,84.63,3.697,42,,1,,,,,,,,367.1234,0.88,84.63,,0.32,3.879,-0.089,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 44: 1.178,100.0523,1.178,,240305,3830827,Positive,104.1069,1,,Find by Formula,1.485,,162539,6,PQC_Prfrd opt Iterative-r002.d,,,118.0862,,,0.29,1,3,1,FBF,FBF,63.01,0.938,44,,1,,,,,,,,100.0523,-0.63,63.01,low score,-0.06,1.005,0.173,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 54: 1.406,140.0586,1.406,,164583,782594,Positive,104.1069,1,,Find by Formula,1.67,,71482,6,PQC_Prfrd opt Iterative-r002.d,,,141.0658,,,0.064,1,4,1,FBF,FBF,91.86,1.333,54,,1,,,,,,,,140.0586,0.05,91.86,,0.01,1.403,0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 57: 9.547,784.5828,9.547,,172848,632708,Positive,59.0602,1,,Find by Formula,9.657,,55022,6,PQC_Prfrd opt Iterative-r002.d,,,785.5926,,,0.057,1,9,1,FBF,FBF,95.99,9.47,57,,1,,,,,,,,784.5842,-1.86,95.99,,-1.46,9.577,-0.03,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 74: 8.179,816.5735,8.179,,118687,419872,Positive,59.0602,1,,Find by Formula,8.304,,41902,6,PQC_Prfrd opt Iterative-r002.d,,,834.6087,,,0.055,1,7,1,FBF,FBF,99.28,8.105,74,,1,,,,,,,,816.5738,-0.43,99.28,,-0.35,8.191,-0.012,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 100: 10.836,512.3097,10.836,,49460,253846,Positive,634.4269,1,,Find by Formula,11.083,,1006,6,PQC_Prfrd opt Iterative-r002.d,,,1025.6308,,,0.075,1,10,1,FBF,FBF,97.53,10.735,100,,1,,,,,,,,512.3105,-1.41,97.53,,-0.72,10.842,-0.006,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 110: 1.319,504.169,1.319,,88138,1147927,Positive,104.1069,1,,Find by Formula,1.71,,31944,6,PQC_Prfrd opt Iterative-r002.d,,,522.2028,,,0.156,1,7,1,FBF,FBF,99.29,1.125,110,,1,,,,,,,,504.169,-0.03,99.29,,-0.02,1.336,-0.017,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 118: 1.475,279.1318,1.475,,96748,515552,Positive,104.1069,1,,Find by Formula,1.689,,37625,6,PQC_Prfrd opt Iterative-r002.d,,,280.139,,,0.062,1,4,1,FBF,FBF,99.7,1.302,118,,1,,,,,,,,279.1319,-0.15,99.7,,-0.04,1.466,0.009,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 119: 6.837,505.2717,6.837,,129045,594861,Positive,506.2783,1,,Find by Formula,7.062,,53165,6,PQC_Prfrd opt Iterative-r002.d,,,506.2783,,,0.069,1,9,1,FBF,FBF,99.89,6.721,119,,1,,,,,,,,505.2716,0.28,99.89,,0.14,6.841,-0.004,,,,,,,,Pass,,,,,,,,,,,,,,
